ronda,cartas_restantes,Markov_Normal_capital,Markov_Arriesgado_capital,Markov_Umbral_capital,Markov_PG_capital,Aleatorio1_capital,Aleatorio2_capital,Markov_Normal_apuesta,Markov_Arriesgado_apuesta,Markov_Umbral_apuesta,Markov_PG_apuesta,Aleatorio1_apuesta,Aleatorio2_apuesta,Markov_Normal_decision_ms,Markov_Arriesgado_decision_ms,Markov_Umbral_decision_ms,Markov_PG_decision_ms,Aleatorio1_decision_ms,Aleatorio2_decision_ms,Markov_Normal_resultado,Markov_Arriesgado_resultado,Markov_Umbral_resultado,Markov_PG_resultado,Aleatorio1_resultado,Aleatorio2_resultado
29,192,925,887,849,269,662,601,5,5,5,13,5,5,307,5019,134,82,1307,440,activo,activo,activo,activo,activo,activo
30,87,904,882,846,247,650,591,5,5,5,12,5,5,224,1157,59,1,90,211,activo,activo,activo,activo,activo,activo
31,176,894,879,835,217,634,570,5,5,5,10,5,5,204,92,3786,314,78,487,activo,activo,activo,activo,activo,activo
32,76,879,864,815,176,607,562,5,5,5,10,5,5,6576,64,3,6825,1768,84,activo,activo,activo,activo,activo,activo
33,157,886,863,810,171,604,547,5,5,5,10,5,5,3080,8897,112,1399,4190,318,activo,activo,activo,activo,activo,activo
34,57,863,833,792,126,564,519,5,5,5,10,5,5,514,1316,2,144,890,449,activo,activo,activo,activo,activo,activo
35,150,868,828,789,146,556,534,5,5,5,10,5,5,161,2623,66,1522,258,89,activo,activo,activo,activo,activo,activo
36,51,877,830,779,126,551,513,5,5,5,10,5,5,3,5992,434,108,344,117,activo,activo,activo,activo,activo,activo
37,126,862,820,769,131,540,482,5,5,5,10,5,5,2049,142,3554,260,60,92,activo,activo,activo,activo,activo,activo
38,34,852,807,764,116,526,468,5,5,5,10,5,5,1,253,78,63,251,1622,activo,activo,activo,activo,activo,activo
39,123,837,789,753,56,507,434,5,5,5,10,5,5,2212,1697,6324,353,192,813,activo,activo,activo,activo,activo,activo
