round,cards_remaining,markov_normal.decision_time_ms,markov_normal.decisions,markov_normal.result,markov_normal.capital_change,markov_arriesgado.decision_time_ms,markov_arriesgado.decisions,markov_arriesgado.result,markov_arriesgado.capital_change,markov_umbral.decision_time_ms,markov_umbral.decisions,markov_umbral.result,markov_umbral.capital_change,markov_hibrido.decision_time_ms,markov_hibrido.decisions,markov_hibrido.result,markov_hibrido.capital_change,hilo.decision_time_ms,hilo.decisions,hilo.result,hilo.capital_change,aleatorio1.decision_time_ms,aleatorio1.decisions,aleatorio1.result,aleatorio1.capital_change,aleatorio2.decision_time_ms,aleatorio2.decisions,aleatorio2.result,aleatorio2.capital_change,randomforest.decision_time_ms,randomforest.decisions,randomforest.result,randomforest.capital_change,markov_politica.decision_time_ms,markov_politica.decisions,markov_politica.result,markov_politica.capital_change
2250,138,183,1,1,5,73,1,1,5,2,1,1,5,1,1,1,5,0,1,1,70,0,1,-1,-3,0,1,1,5,35,1,1,5,0,0,0,0
2251,119,260,1,-1,-10,373,1,0,0,2,1,-1,-5,20,5,-1,-15,0,1,-1,-55,0,2,-1,-5,0,1,-1,-5,37,1,-1,-5,0,0,0,0
2252,92,586,1,1,10,359,1,1,5,1,1,1,5,3,1,1,5,0,1,1,80,0,1,-1,-5,0,1,1,5,35,1,1,5,0,0,0,0
2253,71,6,1,1,5,59,8,0,0,3,1,1,5,4,1,1,5,0,1,1,82,0,1,1,10,0,1,1,10,39,1,1,5,0,0,0,0
2254,41,5,1,1,5,5,1,1,5,1,1,1,5,0,1,1,5,0,1,1,25,0,1,-1,-3,0,1,1,5,37,1,1,5,0,0,0,0
2255,22,123,1,1,5,0,1,1,7,1,1,1,5,1,1,1,5,0,1,1,5,0,1,-1,-3,0,1,1,10,39,1,1,10,0,0,0,0
2256,187,245,1,-1,-5,61,1,0,0,0,1,-1,-5,3,1,-1,-5,0,1,-1,-5,0,3,-1,-5,0,2,-1,-5,107,3,0,0,0,0,0,0
2257,162,526,2,0,0,442,1,-1,-3,1,1,-1,-3,1,1,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-5,108,3,-1,-5,0,0,0,0
2258,141,110,1,1,5,184,2,1,5,1,1,1,5,3,2,1,5,0,1,1,5,0,1,1,5,0,1,1,5,36,1,1,5,0,0,0,0
2259,119,3,1,-1,-5,2,1,-1,-5,8,2,-1,-5,8,2,0,0,0,1,-1,-5,0,1,-1,-3,0,1,-1,-5,79,2,-1,-5,0,0,0,0
2260,97,8,1,-1,-5,14,2,-1,-5,0,1,1,7,2,1,-1,-5,0,1,0,0,0,1,-1,-5,0,1,-1,-10,114,3,-1,-5,0,0,0,0
2261,70,93,4,0,0,13,1,0,0,7,2,0,0,11,2,0,0,0,2,-1,-5,0,2,-1,-5,0,1,-1,-10,74,2,0,0,0,0,0,0
2262,40,208,1,1,5,315,1,1,5,9,2,1,5,5,1,1,5,0,1,1,5,0,1,1,5,0,1,1,5,35,1,1,5,0,0,0,0
2263,188,141,2,-1,-5,0,1,1,7,5,1,0,0,1,1,0,0,0,1,0,0,0,2,-1,-5,0,1,-1,-3,39,1,-1,-5,0,0,0,0
2264,166,89,2,-1,-5,0,1,1,7,1,1,-1,-5,0,1,-1,-5,0,3,0,0,0,1,-1,-5,0,1,-1,-3,148,4,-1,-5,0,0,0,0
2265,139,42,1,-1,-5,128,1,0,0,2,1,-1,-5,1,1,0,0,0,1,-1,-15,0,1,-1,-3,0,1,-1,-5,41,1,-1,-5,0,0,0,0
2266,118,2,1,-1,-5,0,1,1,7,3,1,-1,-5,20,2,0,0,0,1,0,0,0,1,-1,-10,0,1,-1,-5,76,2,0,0,0,0,0,0
2267,94,165,1,0,0,115,1,-1,-5,5,9,-1,-1,10,1,0,0,0,1,0,0,0,1,-1,-3,0,1,-1,-5,72,2,-1,-5,0,0,0,0
2268,64,87,1,-1,-5,95,3,-1,-10,15,1,-1,-10,5,1,-1,-10,0,1,-1,-40,0,1,-1,-5,0,1,-1,-5,36,1,-1,-5,0,0,0,0
2269,40,20,3,0,0,0,1,1,7,0,1,0,0,0,1,0,0,0,2,-1,-25,0,2,0,0,0,1,0,0,38,1,-1,-5,0,0,0,0
2270,15,76,1,1,5,77,1,1,5,3,1,1,5,0,1,1,7,0,1,1,5,0,1,1,5,0,1,1,10,39,1,1,5,0,0,0,0
2271,187,41,3,1,5,191,1,1,10,2,1,1,10,1,1,1,5,0,1,1,15,0,1,1,5,0,1,-1,-10,38,1,1,5,0,0,0,0
2272,162,266,1,-1,-3,254,3,0,0,5,1,0,0,15,2,-1,-5,0,1,0,0,0,1,-1,-5,0,1,0,0,68,2,-1,-5,0,0,0,0
2273,139,24,2,1,5,83,3,1,5,0,1,1,5,1,1,1,5,0,1,-1,-10,0,1,-1,-3,0,1,1,5,39,1,1,5,0,0,0,0
2274,116,61,1,-1,-5,61,1,-1,-5,7,1,-1,-10,5,1,0,0,0,1,-1,-5,0,1,-1,-3,0,1,-1,-3,36,1,-1,-10,0,0,0,0
2275,95,80,2,1,5,69,1,1,5,7,1,1,10,1,1,1,5,0,1,1,5,0,1,1,5,0,1,1,5,36,1,1,5,0,0,0,0
2276,74,30,1,-1,-5,29,1,-1,-5,12,2,-1,-5,1,1,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-3,64,2,-1,-5,0,0,0,0
2277,53,119,1,-1,-5,186,3,-1,-5,1,1,-1,-5,2,1,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-5,37,1,-1,-10,0,0,0,0
2278,31,12,2,-1,-5,38,2,-1,-5,1,1,-1,-5,13,4,0,0,0,1,-1,-3,0,2,0,0,0,3,0,0,41,1,-1,-3,0,0,0,0
