ronda_num,agente_nombre,capital_inicial_ronda,capital_final_ronda,ganancia_neta_ronda,apuesta_total_ronda,resultado_ronda,cartas_restantes_mazo
4433,AgenteBasico,89995993,89995988,-5,5,-1,174
4434,AgenteBasico,89995988,89995983,-5,5,-1,168
4435,AgenteBasico,89995983,89995988,5,5,1,162
4436,AgenteBasico,89995988,89995983,-5,5,-1,155
4437,AgenteBasico,89995983,89995983,0,5,0,149
4438,AgenteBasico,89995983,89995983,0,5,0,144
4439,AgenteBasico,89995983,89995978,-5,5,-1,137
4440,AgenteBasico,89995978,89995973,-5,5,-1,131
4441,AgenteBasico,89995973,89995973,0,10,0,124
4442,AgenteBasico,89995973,89995968,-5,5,-1,119
4443,AgenteBasico,89995968,89995968,0,5,0,114
4444,AgenteBasico,89995968,89995963,-5,5,-1,110
4445,AgenteBasico,89995963,89995970,7,5,1,103
4446,AgenteBasico,89995970,89995975,5,5,1,99
4447,AgenteBasico,89995975,89995980,5,5,1,93
4448,AgenteBasico,89995980,89995980,0,5,0,87
4449,AgenteBasico,89995980,89995980,0,5,0,82
4450,AgenteBasico,89995980,89995975,-5,5,-1,77
4451,AgenteBasico,89995975,89995980,5,5,1,71
4452,AgenteBasico,89995980,89995975,-5,5,-1,65
4453,AgenteBasico,89995975,89995975,0,5,0,59
4454,AgenteBasico,89995975,89995970,-5,5,-1,54
4455,AgenteBasico,89995970,89995980,10,10,1,48
4456,AgenteBasico,89995980,89995975,-5,5,-1,198
4457,AgenteBasico,89995975,89995972,-3,0,-1,192
4458,AgenteBasico,89995972,89995967,-5,5,-1,188
4459,AgenteBasico,89995967,89995957,-10,10,-1,183
4460,AgenteBasico,89995957,89995957,0,5,0,178
4461,AgenteBasico,89995957,89995952,-5,5,-1,169
4462,AgenteBasico,89995952,89995957,5,5,1,165
4463,AgenteBasico,89995957,89995952,-5,5,-1,159
4464,AgenteBasico,89995952,89995952,0,5,0,151
4465,AgenteBasico,89995952,89995952,0,5,0,146
4466,AgenteBasico,89995952,89995947,-5,5,-1,142
4467,AgenteBasico,89995947,89995952,5,5,1,136
4468,AgenteBasico,89995952,89995947,-5,5,-1,131
4469,AgenteBasico,89995947,89995942,-5,5,-1,125
4470,AgenteBasico,89995942,89995942,0,5,0,120
4471,AgenteBasico,89995942,89995942,0,5,0,115
4472,AgenteBasico,89995942,89995937,-5,5,-1,110
4473,AgenteBasico,89995937,89995937,0,5,0,105
4474,AgenteBasico,89995937,89995947,10,10,1,100
4475,AgenteBasico,89995947,89995942,-5,5,-1,94
4476,AgenteBasico,89995942,89995947,5,5,1,89
4477,AgenteBasico,89995947,89995954,7,5,1,84
4478,AgenteBasico,89995954,89995949,-5,5,-1,80
4479,AgenteBasico,89995949,89995959,10,10,1,73
4480,AgenteBasico,89995959,89995954,-5,5,-1,67
4481,AgenteBasico,89995954,89995959,5,5,1,62
4482,AgenteBasico,89995959,89995956,-3,0,-1,56
4483,AgenteBasico,89995956,89995951,-5,5,-1,52
4484,AgenteBasico,89995951,89995951,0,5,0,45
4485,AgenteBasico,89995951,89995956,5,5,1,40
