mano_valor,mano_es_blanda,mano_apuesta,mano_num_cartas,mano_es_par_divisible,agente_nombre,agente_capital_inicial,dealer_valor_carta,accion_tomada,ganancia_neta,conteo_cartas,recompensa_normalizada
9,False,713,2,False,AgenteAleatorio1,74624,10,DIVIDIR,-713,None,-1.0
12,False,124,2,False,AgenteAleatorio1,73911,4,DOBLAR,-248,None,-2.0
17,False,35,2,False,AgenteAleatorio1,73663,5,RENDIRSE,-17,None,-0.4857142857142857
10,False,213,2,False,AgenteAleatorio1,73645,5,PEDIR,-213,None,-1.0
13,False,213,3,False,AgenteAleatorio1,73645,5,PEDIR,-213,None,-1.0
17,True,103,2,False,AgenteAleatorio1,73432,2,DOBLAR,206,None,2.0
12,False,517,2,False,AgenteAleatorio1,73638,7,PLANTARSE,-517,None,-1.0
19,False,34,2,False,AgenteAleatorio1,73121,3,DIVIDIR,-34,None,-1.0
20,False,568,2,True,AgenteAleatorio1,73087,10,DIVIDIR,-284,None,-0.5
21,True,568,2,False,AgenteAleatorio1,72519,10,RENDIRSE,-284,None,-0.5
19,False,715,2,False,AgenteAleatorio1,72803,10,PLANTARSE,-715,None,-1.0
12,False,407,2,False,AgenteAleatorio1,72088,5,DIVIDIR,407,None,1.0
14,False,268,2,False,AgenteAleatorio1,72495,7,PEDIR,-268,None,-1.0
15,False,268,3,False,AgenteAleatorio1,72495,7,DIVIDIR,-268,None,-1.0
18,False,720,2,False,AgenteAleatorio1,72227,11,PLANTARSE,-720,None,-1.0
8,False,567,2,False,AgenteAleatorio1,71507,9,DIVIDIR,-567,None,-1.0
20,False,158,2,True,AgenteAleatorio1,70940,10,RENDIRSE,-79,None,-0.5
18,False,530,2,False,AgenteAleatorio1,70861,4,PLANTARSE,530,None,1.0
17,True,452,2,False,AgenteAleatorio1,71391,2,DOBLAR,-904,None,-2.0
15,True,222,2,False,AgenteAleatorio1,70487,3,PLANTARSE,-222,None,-1.0
15,False,377,2,False,AgenteAleatorio1,70265,10,DIVIDIR,-377,None,-1.0
14,False,423,2,True,AgenteAleatorio1,69888,8,DIVIDIR,423,None,1.0
16,False,423,2,False,AgenteAleatorio1,69465,8,DIVIDIR,423,None,1.0
17,False,423,2,False,AgenteAleatorio1,69465,8,DIVIDIR,423,None,1.0
16,False,156,2,False,AgenteAleatorio1,70734,10,DOBLAR,-312,None,-2.0
21,True,159,2,False,AgenteAleatorio1,70422,2,DIVIDIR,-174,None,-1.0943396226415094
10,False,292,2,False,AgenteAleatorio1,70422,10,PEDIR,0,None,0.0
20,False,292,3,False,AgenteAleatorio1,70422,10,DOBLAR,0,None,0.0
14,False,174,2,False,AgenteAleatorio1,70422,10,PLANTARSE,-174,None,-1.0
14,False,382,2,False,AgenteAleatorio1,70248,11,RENDIRSE,-191,None,-0.5
9,False,29,2,False,AgenteAleatorio1,70057,9,PLANTARSE,29,None,1.0
13,False,179,2,False,AgenteAleatorio1,70086,2,DIVIDIR,-179,None,-1.0
13,False,119,2,False,AgenteAleatorio1,69907,6,PLANTARSE,119,None,1.0
21,True,534,2,False,AgenteAleatorio1,70026,10,PEDIR,0,None,0.0
21,False,534,3,False,AgenteAleatorio1,70026,10,RENDIRSE,0,None,0.0
16,True,647,2,False,AgenteAleatorio1,70026,10,RENDIRSE,-323,None,-0.4992272024729521
10,False,130,2,False,AgenteAleatorio1,69702,10,PLANTARSE,-130,None,-1.0
11,False,662,2,False,AgenteAleatorio1,69572,10,DOBLAR,1324,None,2.0
20,False,609,2,True,AgenteAleatorio1,69572,10,PLANTARSE,0,None,0.0
15,False,7,2,False,AgenteAleatorio1,69572,10,RENDIRSE,-3,None,-0.42857142857142855
19,False,434,2,False,AgenteAleatorio1,69568,10,PEDIR,-434,None,-1.0
13,False,450,2,False,AgenteAleatorio1,69134,2,RENDIRSE,-225,None,-0.5
17,False,375,2,False,AgenteAleatorio1,68909,10,PLANTARSE,-375,None,-1.0
16,True,303,2,False,AgenteAleatorio1,68534,7,DIVIDIR,303,None,1.0
14,False,488,2,False,AgenteAleatorio1,68837,2,DOBLAR,-976,None,-2.0
14,False,98,2,False,AgenteAleatorio1,67861,3,RENDIRSE,-49,None,-0.5
16,False,206,2,False,AgenteAleatorio1,67812,10,PLANTARSE,-206,None,-1.0
17,False,652,2,False,AgenteAleatorio1,67606,11,DOBLAR,0,None,0.0
6,False,540,2,False,AgenteAleatorio1,67606,8,PEDIR,-540,None,-1.0
14,False,540,3,False,AgenteAleatorio1,67606,8,DOBLAR,-540,None,-1.0
9,False,380,2,False,AgenteAleatorio1,67066,6,DIVIDIR,380,None,1.0
19,False,662,2,False,AgenteAleatorio1,67446,10,PEDIR,-662,None,-1.0
11,False,229,2,False,AgenteAleatorio1,66784,9,DOBLAR,458,None,2.0
10,False,457,2,False,AgenteAleatorio1,67242,8,PEDIR,-457,None,-1.0
20,False,457,3,False,AgenteAleatorio1,67242,8,PEDIR,-457,None,-1.0
13,False,470,2,False,AgenteAleatorio1,66785,10,PEDIR,-470,None,-1.0
16,False,510,2,False,AgenteAleatorio1,66315,7,PEDIR,-510,None,-1.0
14,False,20,2,False,AgenteAleatorio1,65805,10,PLANTARSE,20,None,1.0
16,False,650,2,False,AgenteAleatorio1,65825,5,RENDIRSE,-325,None,-0.5
16,True,246,2,False,AgenteAleatorio1,65500,8,PLANTARSE,-246,None,-1.0
18,False,279,2,False,AgenteAleatorio1,65254,8,PEDIR,-279,None,-1.0
20,False,213,2,True,AgenteAleatorio1,64975,11,DOBLAR,0,None,0.0
17,False,436,2,False,AgenteAleatorio1,64975,6,PEDIR,-436,None,-1.0
15,False,191,2,False,AgenteAleatorio1,64539,7,PLANTARSE,-191,None,-1.0
13,False,262,2,False,AgenteAleatorio1,64348,10,RENDIRSE,-131,None,-0.5
14,False,302,2,True,AgenteAleatorio1,64217,11,PEDIR,0,None,0.0
21,False,302,3,False,AgenteAleatorio1,64217,11,RENDIRSE,0,None,0.0
16,False,189,2,False,AgenteAleatorio1,64217,4,DIVIDIR,-189,None,-1.0
15,True,146,2,False,AgenteAleatorio1,64028,2,DOBLAR,-292,None,-2.0
10,False,513,2,False,AgenteAleatorio1,63736,4,PLANTARSE,513,None,1.0
11,False,456,2,False,AgenteAleatorio1,64249,10,DIVIDIR,-456,None,-1.0
19,False,144,2,False,AgenteAleatorio1,63793,10,PLANTARSE,144,None,1.0
18,False,446,2,False,AgenteAleatorio1,63793,11,PLANTARSE,0,None,0.0
17,False,286,2,False,AgenteAleatorio1,63793,7,RENDIRSE,-143,None,-0.5
12,False,98,2,False,AgenteAleatorio1,63650,5,RENDIRSE,-49,None,-0.5
14,False,269,2,False,AgenteAleatorio1,63601,2,PEDIR,269,None,1.0
17,False,269,3,False,AgenteAleatorio1,63601,2,PEDIR,269,None,1.0
21,False,269,4,False,AgenteAleatorio1,63601,2,PLANTARSE,269,None,1.0
13,False,441,2,False,AgenteAleatorio1,63601,2,PEDIR,-441,None,-1.0
17,False,441,3,False,AgenteAleatorio1,63601,2,DOBLAR,-441,None,-1.0
15,False,433,2,False,AgenteAleatorio1,63160,10,PEDIR,-433,None,-1.0
21,False,433,3,False,AgenteAleatorio1,63160,10,PEDIR,-433,None,-1.0
21,True,528,2,False,AgenteAleatorio1,62727,8,DOBLAR,-1056,None,-2.0
20,False,210,2,True,AgenteAleatorio1,61671,6,PEDIR,-210,None,-1.0
18,False,100,2,False,AgenteAleatorio1,61461,10,DIVIDIR,100,None,1.0
13,False,152,2,False,AgenteAleatorio1,61561,5,RENDIRSE,-76,None,-0.5
16,False,92,2,False,AgenteAleatorio1,61485,10,PEDIR,-92,None,-1.0
8,False,142,2,False,AgenteAleatorio1,61393,7,DOBLAR,-284,None,-2.0
21,True,97,2,False,AgenteAleatorio1,61109,7,RENDIRSE,-48,None,-0.4948453608247423
14,True,424,2,False,AgenteAleatorio1,61060,10,DOBLAR,-848,None,-2.0
14,False,12,2,False,AgenteAleatorio1,60212,7,DOBLAR,-24,None,-2.0
5,False,170,2,False,AgenteAleatorio1,60188,3,PEDIR,170,None,1.0
9,False,170,3,False,AgenteAleatorio1,60188,3,PLANTARSE,170,None,1.0
12,False,313,2,False,AgenteAleatorio1,60358,9,DIVIDIR,-313,None,-1.0
12,False,80,2,False,AgenteAleatorio1,60045,9,DOBLAR,-160,None,-2.0
18,False,286,2,False,AgenteAleatorio1,59885,7,PEDIR,286,None,1.0
19,False,286,3,False,AgenteAleatorio1,59885,7,DOBLAR,286,None,1.0
12,False,164,2,False,AgenteAleatorio1,60171,9,PLANTARSE,-164,None,-1.0
